genre,genre
'pop',302
'hip hop',104
'rap',46
'reggaeton',46
'r&b',39
'corrido',23
'rock',16
'contemporary country',13
'alt z',13
'adult standards',9
'indie',9
'filmi',6
'corridos tumbados',5
'brostep',5
'anime',4
'afrobeats',4
'british soul',3
'escape room',3
'afrofuturism',3
'funk carioca',3
'agronejo',3
'big room',3
'perreo',2
'house',2
'permanent wave',2
'melodic drill',2
'beatlesque',2
'arrocha',2
'movie tunes',2
'german drill',2
'sad sierreno',2
'gen z singer-songwriter',2
'florida drill',2
'urbano chileno',1
'g funk',1
'cantautora mexicana',1
'bachata',1
'dreamo',1
'breaks',1
'hollywood',1
'italo dance',1
'mambo chileno',1
'aussietronica',1
'brooklyn drill',1
'funk mtg',1
'indonesian jazz',1
'latin talent show',1
'neo mellow',1
'latintronica',1
'mariachi',1
'urbano espanol',1
'uk reggae',1
'funk consciente',1
'neo soul',1
'classic oklahoma country',1
'electra',1
'chicago drill',1
'sertanejo',1
'disco',1
'sped up',1
'nightcore',1
'musica chihuahuense',1
'phonk brasileiro',1
'drift phonk',1
'blues',1
'deep euro house',1
'electro latino',1
'dutch house',1
'weirdcore',1
'belgian edm',1
'deep groove house',1
'speed up turkce',1
'musical advocacy',1
'funk paulista',1
